customer_id,age_group,city,customer_type
266,18-25,Gdańsk,new
267,26-35,Gdańsk,new
268,36-45,Warszawa,loyal
269,36-45,Katowice,occasional
270,36-45,Wrocław,new
271,18-25,Łódź,new
272,36-45,Łódź,occasional
273,18-25,Lublin,occasional
274,36-45,Warszawa,new
275,46-60,Warszawa,regular
276,36-45,Lublin,regular
277,18-25,Gdańsk,regular
278,36-45,Poznań,occasional
279,18-25,Warszawa,regular
280,46-60,Poznań,regular
281,36-45,Kraków,regular
282,36-45,Poznań,loyal
283,36-45,Wrocław,occasional
284,26-35,Katowice,regular
285,18-25,Warszawa,regular
286,26-35,Katowice,new
287,46-60,Łódź,loyal
288,18-25,Gdańsk,occasional
289,18-25,Łódź,occasional
290,46-60,Kraków,new
291,26-35,Lublin,occasional
292,26-35,Łódź,regular
293,46-60,Łódź,occasional
294,36-45,Łódź,new
295,46-60,Łódź,occasional
296,18-25,Katowice,new
297,46-60,Gdańsk,occasional
298,26-35,Warszawa,loyal
299,46-60,Łódź,regular
300,36-45,Gdańsk,loyal
301,26-35,Warszawa,occasional
302,26-35,Poznań,new
303,26-35,Wrocław,new
304,18-25,Gdańsk,loyal
305,26-35,Warszawa,regular
306,18-25,Lublin,occasional
307,46-60,Wrocław,new
308,18-25,Wrocław,regular
309,26-35,Gdańsk,new
310,26-35,Wrocław,occasional
311,36-45,Łódź,new
312,26-35,Gdańsk,regular
313,46-60,Wrocław,occasional
314,60+,Lublin,occasional
315,60+,Poznań,new
316,26-35,Warszawa,regular
317,18-25,Katowice,loyal
318,36-45,Katowice,new
319,26-35,Gdańsk,occasional
320,36-45,Kraków,loyal
321,26-35,Katowice,regular
322,46-60,Wrocław,occasional
323,26-35,Poznań,new
324,46-60,Lublin,new
325,26-35,Kraków,new
326,26-35,Katowice,regular
327,26-35,Lublin,occasional
328,46-60,Łódź,regular
329,36-45,Łódź,regular
330,18-25,Kraków,occasional
331,46-60,Warszawa,regular
332,26-35,Katowice,regular
333,36-45,Katowice,new
334,18-25,Gdańsk,occasional
335,26-35,Katowice,new
336,36-45,Lublin,new
337,26-35,Katowice,new
338,46-60,Warszawa,regular
339,36-45,Warszawa,regular
340,36-45,Gdańsk,new
341,60+,Kraków,occasional
342,26-35,Katowice,new
343,60+,Łódź,new
344,26-35,Wrocław,occasional
345,36-45,Warszawa,occasional
346,26-35,Katowice,occasional
347,26-35,Wrocław,new
348,60+,Łódź,regular
349,18-25,Gdańsk,new
350,18-25,Gdańsk,loyal
351,26-35,Kraków,regular
352,36-45,Lublin,regular
353,36-45,Łódź,regular
354,60+,Poznań,regular
355,18-25,Warszawa,occasional
356,18-25,Łódź,regular
357,46-60,Łódź,occasional
358,36-45,Łódź,loyal
359,26-35,Wrocław,regular
360,36-45,Lublin,regular
361,36-45,Kraków,regular
362,46-60,Łódź,regular
363,36-45,Gdańsk,regular
364,26-35,Wrocław,new
365,18-25,Wrocław,loyal
366,36-45,Łódź,new
367,26-35,Katowice,occasional
368,46-60,Kraków,regular
369,36-45,Kraków,regular
370,18-25,Kraków,regular
371,36-45,Lublin,new
372,36-45,Lublin,loyal
373,60+,Poznań,regular
374,36-45,Poznań,regular
375,60+,Poznań,loyal
376,18-25,Gdańsk,regular
377,46-60,Lublin,regular
378,60+,Poznań,occasional
379,26-35,Katowice,regular
380,36-45,Poznań,regular
381,26-35,Gdańsk,occasional
382,46-60,Lublin,occasional
383,46-60,Lublin,occasional
384,26-35,Katowice,regular
385,26-35,Poznań,regular
386,26-35,Łódź,loyal
387,26-35,Wrocław,occasional
388,46-60,Kraków,new
389,18-25,Warszawa,occasional
390,46-60,Wrocław,new
391,46-60,Poznań,regular
392,60+,Warszawa,new
393,18-25,Warszawa,loyal
394,60+,Gdańsk,occasional
395,18-25,Lublin,occasional
396,26-35,Kraków,occasional
397,36-45,Gdańsk,occasional
398,18-25,Warszawa,regular
399,36-45,Kraków,loyal
400,36-45,Poznań,occasional
401,60+,Warszawa,new
402,36-45,Poznań,occasional
403,26-35,Wrocław,regular
404,18-25,Gdańsk,loyal
405,26-35,Wrocław,occasional
406,46-60,Katowice,regular
407,26-35,Kraków,occasional
408,26-35,Łódź,occasional
409,18-25,Poznań,new
410,18-25,Lublin,regular
411,18-25,Poznań,new
412,26-35,Warszawa,occasional
413,18-25,Wrocław,occasional
414,18-25,Łódź,new
415,46-60,Wrocław,regular
416,46-60,Katowice,new
417,26-35,Poznań,regular
418,46-60,Łódź,regular
419,46-60,Łódź,regular
420,26-35,Gdańsk,new
421,46-60,Lublin,new
422,18-25,Warszawa,new
423,46-60,Warszawa,occasional
424,18-25,Gdańsk,loyal
425,26-35,Lublin,occasional
426,60+,Gdańsk,occasional
427,18-25,Poznań,loyal
428,26-35,Kraków,loyal
429,36-45,Łódź,occasional
430,36-45,Poznań,new
431,18-25,Lublin,regular
432,26-35,Poznań,regular
433,46-60,Warszawa,loyal
434,26-35,Katowice,regular
435,36-45,Kraków,loyal
436,36-45,Wrocław,new
437,18-25,Warszawa,occasional
438,36-45,Kraków,new
439,46-60,Warszawa,regular
440,60+,Gdańsk,new
